vslRecID_n,vsl_m,vslFlag_c,vslTy_c,vslGT_q,vslNT_q,vslLen_q,vslBre_q,vslRecSt_i,vslCraftTy_c
0,0,,,0,76499,0,0,,
1,1, , ,1,0,3,2,,PMDI
3,3, , ,1,0,4,1,,PRCA
4,4,HK,TA,22988,11840,183,0,, 
6,6, , ,1,0,4,1,,PRCA
7,7, , ,1,0,4,1,,PRCA
8,8, , ,1,0,4,1,,PRCA
9,9, , ,1,0,4,1,,PRCA
11,11, , ,1,0,4,1,,PRCA
12,12, , ,1,0,4,1,,PRCA
13,13, , ,1,0,4,1,,PRCA
14,14, , ,1,0,4,1,,PRCA
17,17,SG,TU,50,15,16,6,,TU
18,18,DK,CS,91560,50110,347,0,, 
19,19, , ,1,0,4,1,,PRCA
20,20, , ,1,0,4,1,,PRCA
21,21, , ,1,0,4,1,,PRCA
22,22, , ,1,0,4,1,,PRCA
23,23, , ,1,0,4,1,,PRCA
24,24, , ,1,0,4,1,,PRCA
25,25, , ,1,0,4,1,,PRCA
26,26, , ,1,0,4,1,,PRCA
27,27, , ,1,0,4,1,,PRCA
29,29, , ,1,0,4,1,,PRCA
30,30, , ,1,0,4,1,,PRCA
31,31, , ,1,0,4,1,,PRCA
32,32, , ,1,0,4,1,,PRCA
34,34,FR,YA,24,18,0,0,, 
35,35, , ,1,0,4,1,,PRCA
36,36, , ,1,0,4,1,,PRCA
37,37, , ,1,0,4,1,,PRCA
38,38,1,TU,146,44,23,0,, 
39,39,VC,LC,323,107,36,0,, 
45,45, , ,1,0,4,1,,PRCA
46,46, , ,1,0,4,1,,PRCA
47,47, , ,1,0,4,1,,PRCA
48,48, , ,1,0,4,1,,PRCA
49,49, , ,1,0,4,1,,PRCA
50,50, , ,1,0,4,1,,PRCA
51,51, , ,1,0,4,1,,PRCA
52,52, , ,1,0,4,1,,PRCA
53,53,KP,FR,6448,3905,135,0,, 
54,54, , ,1,0,4,1,,PRCA
55,55, , ,1,0,4,1,,PRCA
56,56, , ,1,0,4,1,,PRCA
58,58, , ,1,0,4,1,,PRCA
59,59, , ,1,0,4,1,,PRCA
60,60, , ,1,0,4,1,,PRCA
61,61, , ,1,0,4,1,,PRCA
63,63, , ,1,0,4,1,,PRCA
64,64, , ,1,0,4,1,,PRCA
65,65, , ,1,0,4,1,,PRCA
66,66,ID,TU,62,18,18,6,,TU
67,67, , ,1,0,4,1,,PRCA