ServiceProviderName,ServiceName
CNF SHIPPING AGENCIES PTE LTD  , ShipAgent                             
FAF-FLYING TRANSPORTATION (S) P/L , Haulier                          
I-FREIGHT LOGISTICS PTE LTD    , Forwarder                                                   
INFINITY LOGISTICS (S) PTE LTD  , Supplies                             
INFO-TECH SYSTEMS INTEGRATORS   , Equipment                   
RAFFLES MEDICAL GROUP LTD.   , Medical                               
SAFMARINE SINGAPORE    , Surveyor                                 
C.H. ROBINSON WORLDWIDE SINGAPORE P/L , Supplies                      
CAHAYA SAMUDERA SHIPPING (PTE) LTD  , ShipAgent                        
JOHN WILEY & SONS (ASIA), Supplies